---,Word,Mature
868,anaemia,0
869,anaerobic,0
870,anagram,0
871,anal,1
872,analgesic,0
873,analog,0
874,analogies,0
875,analogous,0
876,analogs,0
877,analogue,0
878,analogues,0
879,analogy,0
880,analyse,0
881,analysed,0
882,analyses,0
883,analysing,0
884,analysis,0
885,analyst,0
886,analysts,0
887,analytic,0
888,analytics,0
889,analyze,0
890,analyzed,0
891,analyzer,0
892,analyzers,0
893,analyzes,0
894,analyzing,0
895,anarchic,0
896,anarchism,0
897,anarchist,0
898,anarchy,0
899,anas,0
900,anathema,0
901,anatomic,0
902,anatomy,0
903,ancestor,0
904,ancestors,0
905,ancestral,0
906,ancestry,0
907,anchor,0
908,anchorage,0
909,anchored,0
910,anchoring,0
911,anchorman,0
912,anchors,0
913,anchovies,0
914,anchovy,0
915,ancient,0
916,ancients,0
917,ancillary,0
918,and,0
919,androgen,0
920,android,0
921,androids,0
922,andromeda,0
923,andros,0
924,ane,0
925,anecdotal,0
926,anecdote,0
927,anecdotes,0
928,anemia,0
929,anemic,0
930,anemone,0
931,aneurysm,0
932,anew,0
933,angel,0
934,angelic,0
935,angelica,0
936,angels,0
937,angelus,0
938,anger,0
939,angered,0
940,angering,0
941,angers,0
942,angina,0
943,angle,0
944,angled,0
945,angler,0
946,anglers,0
947,angles,0
948,angling,0
949,anglo,0
950,angola,0
951,angora,0
952,angrier,0
953,angrily,0
954,angry,0
955,angst,0
956,anguish,0
957,anguished,0
958,angular,0
959,ani,0
960,anil,0
961,anima,0
962,animal,0
963,animals,0
964,animate,0
965,animated,0
966,animating,0
967,animation,0
968,animator,0
969,animators,0
970,anime,0
971,animosity,0
972,animus,0
973,anion,0
974,anise,0
975,anker,0
976,ankle,0
977,ankles,0
978,ann,0
979,anna,0
980,annalise,0
981,annals,0
982,annealing,0
983,annex,0
984,annexe,0
985,annexed,0
986,annexing,0
987,anno,0
988,annotated,0
989,announce,0
990,announced,0
991,announcer,0
992,announces,0
993,annoy,0
994,annoyance,0
995,annoyed,0
996,annoying,0
997,annoys,0
998,annual,0
999,annually,0
1000,annuals,0
1001,annuities,0
1002,annuity,0
1003,annular,0
1004,annulled,0
1005,annulment,0
1006,anode,0
1007,anointed,0
1008,anointing,0
1009,anomalies,0
1010,anomalous,0
1011,anomaly,0
1012,anon,0
1013,anonymity,0
1014,anonymous,0
1015,anorexia,0
1016,anorexic,0
1017,another,0
1018,ans,0
1019,answer,0
1020,answered,0
1021,answering,0
1022,answers,0
1023,ant,0
1024,antarctic,0
1025,ante,0
1026,antelope,0
1027,antenna,0
1028,antennae,0
1029,antennas,0
1030,anterior,0
1031,anthem,0
1032,anthems,0
1033,anthology,0
1034,anthrax,0
1035,anti,0
1036,antibody,0
1037,antics,0
1038,antidote,0
1039,antigen,0
1040,antigens,0
1041,antimony,0
1042,antipathy,0
1043,antique,0
1044,antiques,0
1045,antiquity,0
1046,antitrust,0
1047,antiviral,0
1048,antivirus,0
1049,antiwar,0
1050,antler,0
1051,antlers,0
1052,ants,0
1053,antsy,0
1054,anus,1
1055,anvil,0
1056,anxieties,0
1057,anxiety,0
1058,anxious,0
1059,anxiously,0
1060,any,0
1061,anybody,0
1062,anyhow,0
1063,anymore,0
1064,anyone,0
1065,anyplace,0
1066,anything,0
1067,anytime,0
1068,anyway,0
1069,anyways,0
1070,anywhere,0
1071,aorta,0
1072,aortic,0
1073,apache,0
1074,apaches,0
1075,apart,0
1076,apartheid,0
1077,apartment,0
1078,apathetic,0
1079,apathy,0
1080,ape,0
1081,aperture,0
1082,apertures,0
1083,apes,0
1084,apex,0
1085,aphasia,0
1086,aphids,0
1087,aphrodite,0
1088,apical,0
1089,apiece,0
1090,apnea,0
1091,apo,0
1092,apogee,0
1093,apollo,0
1094,apologies,0
1095,apologise,0
1096,apologist,0
1097,apologize,0
1098,apology,0
1099,apoptosis,0
1100,apos,0
1101,apostasy,0
1102,apostate,0
1103,apostates,0
1104,apostle,0
1105,apostles,0
1106,apostolic,0
1107,app,0
1108,appalled,0
1109,appalling,0
1110,apparatus,0
1111,apparel,0
1112,apparent,0
1113,appeal,0
1114,appealed,0
1115,appealing,0
1116,appeals,0
1117,appear,0
1118,appeared,0
1119,appearing,0
1120,appears,0
1121,appease,0
1122,appeasing,0
1123,appel,0
1124,appellant,0
1125,appellate,0
1126,append,0
1127,appendage,0
1128,appended,0
1129,appendix,0
1130,appetite,0
1131,appetites,0
1132,appetizer,0
1133,applaud,0
1134,applauded,0
1135,applauds,0
1136,applause,0
1137,apple,0
1138,apples,0
1139,appliance,0
1140,applicant,0
1141,applied,0
1142,applies,0
1143,apply,0
1144,applying,0
1145,appoint,0
1146,appointed,0
1147,appointee,0
1148,appoints,0
1149,appraisal,0
1150,appraise,0
1151,appraised,0
1152,appraiser,0
1153,apprehend,0
1154,apprised,0
1155,approach,0
1156,approval,0
1157,approvals,0
1158,approve,0
1159,approved,0
1160,approves,0
1161,approving,0
1162,apps,0
1163,apricot,0
1164,apricots,0
1165,apron,0
1166,aprons,0
1167,apropos,0
1168,apt,0
1169,aptitude,0
1170,aptly,0
1171,aqua,0
1172,aquarium,0
1173,aquariums,0
1174,aquatic,0
1175,aquatics,0
1176,aqueduct,0
1177,aqueous,0
1178,aquifer,0
1179,aquifers,0
1180,arabic,0
1181,arable,0
1182,arb,0
1183,arbiter,0
1184,arbitrage,0
1185,arbitrary,0
1186,arbor,0
1187,arboretum,0
1188,arc,0
1189,arcade,0
1190,arcades,0
1191,arcadia,0
1192,arcana,0
1193,arcane,0
1194,arch,0
1195,archaic,0
1196,archangel,0
1197,archduke,0
1198,arched,0
1199,archer,0
1200,archers,0
1201,archery,0
1202,arches,0
1203,archetype,0
1204,arching,0
1205,architect,0
1206,archival,0
1207,archive,0
1208,archived,0
1209,archives,0
1210,archiving,0
1211,archivist,0
1212,archon,0
1213,archway,0
1214,arco,0
1215,arcs,0
1216,arctic,0
1217,ard,0
1218,ardent,0
1219,arduous,0
1220,are,0
1221,area,0
1222,areas,0
1223,arena,0
1224,arenas,0
1225,ares,0
1226,arf,0
1227,argent,0
1228,argentine,0
1229,arginine,0
1230,argon,0
1231,arguable,0
1232,arguably,0
1233,argue,0
1234,argued,0
1235,argues,0
1236,arguing,0
1237,argument,0
1238,arguments,0
1239,argus,0
1240,argyle,0
1241,argyll,0
1242,aria,0
1243,arias,0
1244,arid,0
1245,ariel,0
1246,aris,0
1247,arise,0
1248,arisen,0
1249,arises,0
1250,arising,0
1251,aristotle,0
1252,ark,0
1253,arm,0
1254,armada,0
1255,armadillo,0
1256,armament,0
1257,armaments,0
1258,armature,0
1259,armband,0
1260,armchair,0
1261,armed,0
1262,armies,0
1263,arming,0
1264,armistice,0
1265,armor,0
1266,armored,0
1267,armory,0
1268,armour,0
1269,armoured,0
1270,armoury,0
1271,armpit,0
1272,armpits,0
1273,arms,0
1274,army,0
1275,aroma,0
1276,aromas,0
1277,aromatic,0
1278,arose,0
1279,around,0
1280,arousal,0
1281,arouse,0
1282,aroused,0
1283,arousing,0
1284,arraigned,0
1285,arrange,0
